name,type,value,date
哈佛大学,1,1,2009
斯坦福大学,2,2,2009
加州大学-伯克利,3,3,2009
麻省理工学院,5,5,2009
加州理工学院,6,6,2009
哥伦比亚大学,7,7,2009
普林斯顿大学,8,8,2009
芝加哥大学,9,9,2009
耶鲁大学,11,11,2009
康乃尔大学,12,12,2009
加州大学-洛杉矶,13,13,2009
加州大学-圣地亚哥,14,14,2009
宾夕法尼亚大学,15,15,2009
华盛顿大学-西雅图,16,16,2009
威斯康星大学-麦迪逊,17,17,2009
加州大学-旧金山,18,18,2009
约翰霍普金斯大学,19,19,2009
密歇根大学-安娜堡,22,22,2009
伊利诺伊大学厄巴纳-香槟分校,25,25,2009
明尼苏达大学-双城,28,28,2009
哈佛大学,1,1,2010
加州大学-伯克利,2,2,2010
斯坦福大学,3,3,2010
麻省理工学院,4,4,2010
加州理工学院,6,6,2010
普林斯顿大学,7,7,2010
哥伦比亚大学,8,8,2010
芝加哥大学,9,9,2010
耶鲁大学,11,11,2010
康乃尔大学,12,12,2010
加州大学-洛杉矶,13,13,2010
加州大学-圣地亚哥,14,14,2010
宾夕法尼亚大学,15,15,2010
华盛顿大学-西雅图,16,16,2010
威斯康星大学-麦迪逊,17,17,2010
约翰霍普金斯大学,18,18,2010
加州大学-旧金山,19,19,2010
密歇根大学-安娜堡,22,22,2010
伊利诺伊大学厄巴纳-香槟分校,25,25,2010
明尼苏达大学-双城,28,28,2010
哈佛大学,1,1,2011
斯坦福大学,2,2,2011
麻省理工学院,3,3,2011
加州大学-伯克利,4,4,2011
加州理工学院,6,6,2011
普林斯顿大学,7,7,2011
哥伦比亚大学,8,8,2011
芝加哥大学,9,9,2011
耶鲁大学,11,11,2011
加州大学-洛杉矶,12,12,2011
康乃尔大学,13,13,2011
宾夕法尼亚大学,14,14,2011
加州大学-圣地亚哥,15,15,2011
华盛顿大学-西雅图,16,16,2011
加州大学-旧金山,17,17,2011
约翰霍普金斯大学,18,18,2011
威斯康星大学-麦迪逊,19,19,2011
密歇根大学-安娜堡,22,22,2011
伊利诺伊大学厄巴纳-香槟分校,25,25,2011
明尼苏达大学-双城,28,28,2011
哈佛大学,1,1,2012
斯坦福大学,2,2,2012
麻省理工学院,3,3,2012
加州大学-伯克利,4,4,2012
加州理工学院,6,6,2012
普林斯顿大学,7,7,2012
哥伦比亚大学,8,8,2012
芝加哥大学,9,9,2012
耶鲁大学,11,11,2012
加州大学-洛杉矶,12,12,2012
康乃尔大学,13,13,2012
宾夕法尼亚大学,14,14,2012
加州大学-圣地亚哥,15,15,2012
华盛顿大学-西雅图,16,16,2012
约翰霍普金斯大学,17,17,2012
加州大学-旧金山,18,18,2012
威斯康星大学-麦迪逊,19,19,2012
密歇根大学-安娜堡,22,22,2012
伊利诺伊大学厄巴纳-香槟分校,25,25,2012
纽约大学,27,27,2012
哈佛大学,1,1,2013
斯坦福大学,2,2,2013
加州大学-伯克利,3,3,2013
麻省理工学院,4,4,2013
加州理工学院,6,6,2013
普林斯顿大学,7,7,2013
哥伦比亚大学,8,8,2013
芝加哥大学,9,9,2013
耶鲁大学,11,11,2013
加州大学-洛杉矶,12,12,2013
康乃尔大学,13,13,2013
加州大学-圣地亚哥,14,14,2013
宾夕法尼亚大学,15,15,2013
华盛顿大学-西雅图,16,16,2013
约翰霍普金斯大学,17,17,2013
加州大学-旧金山,18,18,2013
威斯康星大学-麦迪逊,19,19,2013
密歇根大学-安娜堡,23,23,2013
伊利诺伊大学厄巴纳-香槟分校,25,25,2013
纽约大学,27,27,2013
哈佛大学,1,1,2014
斯坦福大学,2,2,2014
麻省理工学院,3,3,2014
加州大学-伯克利,4,4,2014
普林斯顿大学,6,6,2014
加州理工学院,7,7,2014
哥伦比亚大学,8,8,2014
芝加哥大学,9,9,2014
耶鲁大学,11,11,2014
加州大学-洛杉矶,12,12,2014
康乃尔大学,13,13,2014
加州大学-圣地亚哥,14,14,2014
华盛顿大学-西雅图,15,15,2014
宾夕法尼亚大学,16,16,2014
约翰霍普金斯大学,17,17,2014
加州大学-旧金山,18,18,2014
密歇根大学-安娜堡,23,23,2014
威斯康星大学-麦迪逊,25,25,2014
纽约大学,27,27,2014
西北大学(美国),28,28,2014
哈佛大学,1,1,2015
斯坦福大学,2,2,2015
麻省理工学院,3,3,2015
加州大学-伯克利,4,4,2015
普林斯顿大学,6,6,2015
加州理工学院,7,7,2015
哥伦比亚大学,8,8,2015
芝加哥大学,9,9,2015
耶鲁大学,11,11,2015
加州大学-洛杉矶,12,12,2015
康乃尔大学,13,13,2015
加州大学-圣地亚哥,14,14,2015
华盛顿大学-西雅图,15,15,2015
约翰霍普金斯大学,16,16,2015
宾夕法尼亚大学,17,17,2015
加州大学-旧金山,19,19,2015
密歇根大学-安娜堡,22,22,2015
威斯康星大学-麦迪逊,24,24,2015
纽约大学,27,27,2015
西北大学(美国),28,28,2015
哈佛大学,1,1,2016
斯坦福大学,2,2,2016
加州大学-伯克利,3,3,2016
麻省理工学院,5,5,2016
普林斯顿大学,6,6,2016
加州理工学院,8,8,2016
哥伦比亚大学,9,9,2016
芝加哥大学,10,10,2016
耶鲁大学,11,11,2016
加州大学-洛杉矶,12,12,2016
康奈尔大学,13,13,2016
加州大学-圣地亚哥,14,14,2016
华盛顿大学-西雅图,15,15,2016
约翰霍普金斯大学,16,16,2016
宾夕法尼亚大学,18,18,2016
加州大学-旧金山,21,21,2016
密歇根大学-安娜堡,23,23,2016
华盛顿大学-圣路易斯,24,24,2016
杜克大学,25,25,2016
西北大学(美国),26,26,2016
哈佛大学,1,1,2017
斯坦福大学,2,2,2017
麻省理工学院,4,4,2017
加州大学-伯克利,5,5,2017
普林斯顿大学,6,6,2017
哥伦比亚大学,8,8,2017
加州理工学院,9,9,2017
芝加哥大学,10,10,2017
耶鲁大学,11,11,2017
加州大学-洛杉矶,12,12,2017
华盛顿大学-西雅图,13,13,2017
康奈尔大学,14,14,2017
加州大学-圣地亚哥,15,15,2017
宾夕法尼亚大学,17,17,2017
约翰霍普金斯大学,18,18,2017
华盛顿大学-圣路易斯,20,20,2017
加州大学-旧金山,21,21,2017
西北大学（埃文斯顿）,22,22,2017
密歇根大学-安娜堡,25,25,2017
杜克大学,26,26,2017
哈佛大学,1,1,2018
斯坦福大学,2,2,2018
麻省理工学院,4,4,2018
加州大学-伯克利,5,5,2018
普林斯顿大学,6,6,2018
哥伦比亚大学,8,8,2018
加州理工学院,9,9,2018
芝加哥大学,10,10,2018
加州大学-洛杉矶,11,11,2018
康奈尔大学,12,12,2018
耶鲁大学,13,13,2018
华盛顿大学-西雅图,14,14,2018
加州大学-圣地亚哥,15,15,2018
宾夕法尼亚大学,16,16,2018
约翰霍普金斯大学,18,18,2018
华盛顿大学-圣路易斯,20,20,2018
加州大学-旧金山,21,21,2018
西北大学（埃文斯顿）,25,25,2018
杜克大学,26,26,2018
密歇根大学-安娜堡,27,27,2018
